Entity,Code,Year,Renewables (TWh - equivalent)
Asia Pacific (BP),,1967,456.1688
Asia Pacific (BP),,1968,502.0856
Asia Pacific (BP),,1969,519.6629
Asia Pacific (BP),,1970,539.4916
Asia Pacific (BP),,1971,594.8645
Asia Pacific (BP),,1972,611.6918
Asia Pacific (BP),,1973,579.01697
Asia Pacific (BP),,1974,652.71344
Asia Pacific (BP),,1975,696.1894
Asia Pacific (BP),,1976,698.39355
Asia Pacific (BP),,1977,680.09656
Asia Pacific (BP),,1978,710519
Asia Pacific (BP),,1979,771.7311
Asia Pacific (BP),,1980,824.5518
Asia Pacific (BP),,1981,878227
Asia Pacific (BP),,1982,885.64154
Asia Pacific (BP),,1983,941.4458
Asia Pacific (BP),,1984,946.8012
Asia Pacific (BP),,1985,1011.0365
Asia Pacific (BP),,1986,1038.0441
Asia Pacific (BP),,1987,1035.3352
Asia Pacific (BP),,1988,1144.2135
Asia Pacific (BP),,1989,1228.8285
Asia Pacific (BP),,1990,1248.8962
Asia Pacific (BP),,1991,1283836
Asia Pacific (BP),,1992,1258068
Asia Pacific (BP),,1993,1372819
Asia Pacific (BP),,1994,1392.8474
Asia Pacific (BP),,1995,1527.4908
Asia Pacific (BP),,1996,1498.8854
Asia Pacific (BP),,1997,1518.1624
Asia Pacific (BP),,1998,1617.2631
Asia Pacific (BP),,1999,1611.0737
Asia Pacific (BP),,2000,1686.8329
Asia Pacific (BP),,2001,1824.9501
Asia Pacific (BP),,2002,1856.9513
Asia Pacific (BP),,2003,1905.1895
Asia Pacific (BP),,2004,2221665
Asia Pacific (BP),,2005,2326.5837
Asia Pacific (BP),,2006,2562.1794
Asia Pacific (BP),,2007,2733.6875
Asia Pacific (BP),,2008,3194.7065
Asia Pacific (BP),,2009,3181932
Asia Pacific (BP),,2010,3650.0598
Asia Pacific (BP),,2011,3824327
Asia Pacific (BP),,2012,4346273
Asia Pacific (BP),,2013,4826907
Asia Pacific (BP),,2014,5441.2236
Asia Pacific (BP),,2015,5748338
Asia Pacific (BP),,2016,6215.5874
Asia Pacific (BP),,2017,6790966
Asia Pacific (BP),,2018,7474156
Asia Pacific (BP),,2019,8070.01
Asia Pacific (BP),,2020,8680003
Asia Pacific (BP),,2021,9629033
Australia,AUS,1965,23.683418
