Code,Year,GDP 2015 PPP,GDP 2022 (2015 USD PPP),GDP 2022 (2017 USD PPP),Multiplier
SYC,1978,692344080.3825887,1733621174.5045874,3021613254.5143075,1.7429489780994318
SLE,1978,5179107203.079126,5394942200.073128,14068316520.035414,2.6076862361648137
SGP,1978,44783786349.38628,379708617460.4041,609001934463.2896,1.603866508314882
SXM,1978,0.0,1361800684.8704658,1797170207.9567604,1.3197013541873104
SVK,1978,0.0,102540393597.41013,180204806885.07193,1.7574031126951262
SVN,1978,0.0,53538335168.05858,86623581475.20607,1.6179730132304604
SLB,1978,0.0,1371124331.1997523,1628009899.9771755,1.1873539568455072
SOM,1978,0.0,8958058841.87096,25490993073.982456,2.845593395171142
ZAF,1978,322356013647.18774,360706580601.809,807294933431.9226,2.238093167263591
ESP,1978,784034165506.7876,1323591183845.3113,1921788768753.8308,1.451950415059905
LKA,1978,40936918466.93383,88459606026.82028,270611247556.16,3.0591504949062593
KNA,1978,283220714.9806212,973556961.3050189,1371098512.8937802,1.408339283051164
LCA,1978,746129281.0600113,1942933249.240279,2715892140.5688806,1.3978309041913004
VCT,1978,426202374.5173821,879438071.1397102,1514793355.5781689,1.722455969656929
SDN,1978,57793746439.55212,78965707790.40533,167369383568.23056,2.1195198302087106
SUR,1978,6203282998.504291,4413928267.11963,9300027322.985222,2.1069729184915102
SWE,1978,222801154849.57758,587578011005.7404,580550160212.7944,0.9880392889772771
CHE,1978,0.0,790318933740.3258,634296200128.2699,0.8025825689463741
TJK,1978,0.0,13499137004.28639,41177442708.066605,3.05037593847603
TZA,1978,0.0,67153889893.31218,166596826737.2505,2.4808216918174653
THA,1978,170241544000.2368,450139151522.5591,1255244370207.2144,2.788569636658914
TLS,1978,0.0,2161456464.502912,5288854109.593488,2.4468936554823504
TGO,1978,5783229478.899081,7859198717.657496,19491266573.464966,2.4800577353609032
TTO,1978,13901530558.290768,21672195440.796017,35666506450.514824,1.645726504633478
TUN,1978,29404254451.45868,48116779200.71249,130592428617.41312,2.7140725290997736
TUR,1978,421703433404.75397,1194401648109.1248,2817041474532.5967,2.3585378327234374
TKM,1978,0.0,46927329009.50038,94789611395.98215,2.019923430476772
TCA,1978,0.0,928828868.4682273,946892530.0118054,1.0194477822091896
TUV,1978,0.0,45116851.39841237,51937133.02909544,1.1511692731049727
UGA,1978,0.0,44147216889.61235,107732538124.33168,2.4403019196818425
UKR,1978,0.0,71962895140.23402,379892973994.65094,5.279011819276501
ARE,1978,131115563223.58813,431440812433.6535,707307425643.9161,1.6394077826206697
GBR,1978,1294240893313.7517,3209502458759.0024,3186978981257.067,0.9929822526103799
USA,1978,7082119622951.43,20926835050999.996,21538083666841.68,1.0292088418698782
URY,1978,30895149555.942703,62345533960.79237,83607423058.24643,1.3410330740101633
UZB,1978,0.0,123818743181.09424,287794613066.2836,2.32432187302501
VUT,1978,0.0,841659631.2980758,910266227.1427542,1.0815134685013557
VNM,1978,0.0,358918387605.51,1118989578143.1003,3.11767136147115
PSE,1978,0.0,15612500000.0,28861611581.9086,1.848622038873249
ZMB,1978,15883693023.748346,26185157462.015854,67376967415.2346,2.5730976608779805
ZWE,1978,15042603788.316528,21963674100.4816,36035044448.11649,1.6406655955310476
ALB,1979,0.0,14319794712.62677,43032145215.430275,3.0050811536764424
DZA,1979,170134292631.6712,179602019799.3934,502836797680.8245,2.7997279665477506
AGO,1979,0.0,84884003207.67839,210192674041.07547,2.4762342266871546
ATG,1979,566864335.5600631,1625386015.5663264,2092965498.6233954,1.287672884212771
ARG,1979,492136515238.4634,598312841626.6625,1038500903537.0753,1.7357155509376199
ARM,1979,0.0,14225451502.938084,44646008687.24302,3.1384598708885942
