Source,CodeNumeric,Year,CO2 Emission,Code
Coal,204,2001,0.0,KIR
Coal,204,2002,0.0,KIR
Coal,204,2003,0.0,KIR
Coal,204,2004,0.0,KIR
Coal,204,2005,0.0,KIR
Coal,204,2006,0.0,KIR
Coal,204,2007,0.0,KIR
Coal,204,2008,0.0,KIR
Coal,204,2009,0.0,KIR
Coal,204,2010,0.0,KIR
Coal,204,2011,0.0,KIR
Coal,204,2012,0.0,KIR
Coal,204,2013,0.0,KIR
Coal,204,2014,0.0,KIR
Coal,204,2015,0.0,KIR
Coal,204,2016,0.0,KIR
Coal,204,2017,0.0,KIR
Coal,204,2018,0.0,KIR
Coal,204,2019,0.0,KIR
Coal,204,2020,0.0,KIR
Coal,204,2021,0.0,KIR
Coal,208,1946,0.0,KWT
Coal,208,1947,0.0,KWT
Coal,208,1948,0.0,KWT
Coal,208,1949,0.0,KWT
Coal,208,1950,0.0,KWT
Coal,208,1951,0.0,KWT
Coal,208,1952,0.0,KWT
Coal,208,1953,0.0,KWT
Coal,208,1954,0.0,KWT
Coal,208,1955,0.0,KWT
Coal,208,1956,0.0,KWT
Coal,208,1957,0.0,KWT
Coal,208,1958,0.0,KWT
Coal,208,1959,0.0,KWT
Coal,208,1960,0.0,KWT
Coal,208,1961,0.0,KWT
Coal,208,1962,0.0,KWT
Coal,208,1963,0.0,KWT
Coal,208,1964,0.0,KWT
Coal,208,1965,0.0,KWT
Coal,208,1966,0.0,KWT
Coal,208,1967,0.0,KWT
Coal,208,1968,0.0,KWT
Coal,208,1969,0.0,KWT
Coal,208,1970,0.0,KWT
Coal,208,1971,0.0,KWT
Coal,208,1972,0.0,KWT
Coal,208,1973,0.0,KWT
Coal,208,1974,0.0,KWT
Coal,208,1975,0.0,KWT
Coal,208,1976,0.0,KWT
Coal,208,1977,0.0,KWT
Coal,208,1978,0.0,KWT
Coal,208,1979,0.0,KWT
Coal,208,1980,0.0,KWT
Coal,208,1981,0.0,KWT
Coal,208,1982,0.0,KWT
Coal,208,1983,0.0,KWT
Coal,208,1984,0.0,KWT
Coal,208,1985,0.0,KWT
Coal,208,1986,0.0,KWT
Coal,208,1987,0.0,KWT
Coal,208,1988,0.0,KWT
Coal,208,1989,0.0,KWT
Coal,208,1990,0.0,KWT
Coal,208,1991,0.0,KWT
Coal,208,1992,0.0,KWT
Coal,208,1993,0.0,KWT
Coal,208,1994,0.0,KWT
Coal,208,1995,0.0,KWT
Coal,208,1996,0.0,KWT
Coal,208,1997,0.0,KWT
Coal,208,1998,0.0,KWT
Coal,208,1999,0.0,KWT
Coal,208,2000,0.0,KWT
Coal,208,2001,0.0,KWT
Coal,208,2002,0.0,KWT
Coal,208,2003,0.0,KWT
Coal,208,2004,0.0,KWT
Coal,208,2005,0.0,KWT
Coal,208,2006,0.0,KWT
Coal,208,2007,0.0,KWT
Coal,208,2008,0.0,KWT
Coal,208,2009,0.0,KWT
Coal,208,2010,0.0,KWT
Coal,208,2011,0.0,KWT
Coal,208,2012,0.0,KWT
Coal,208,2013,0.0,KWT
Coal,208,2014,0.0,KWT
Coal,208,2015,0.0,KWT
Coal,208,2016,0.0,KWT
Coal,208,2017,0.0,KWT
Coal,208,2018,0.0,KWT
Coal,208,2019,0.0,KWT
Coal,208,2020,0.0,KWT
Coal,208,2021,0.0,KWT
Coal,126,1830,104.0,KGZ
Coal,126,1831,125.00001,KGZ
Coal,126,1832,83.0,KGZ
Coal,126,1833,104.0,KGZ
Coal,126,1850,647.0,KGZ
Coal,126,1855,1961.0,KGZ
Coal,126,1858,2753.0,KGZ
Coal,126,1859,2920.0,KGZ
