Code,PerCapitaConsumption,MaxGrowth,ProjectedGrowth,Year,PerCapitaConsumptionForecast
IRQ,14.39205426027974,74.48235719341999,0.7703884991428236,2023,15.162442759422564
ISL,165.8728903441553,165.8728903441553,0.0,2023,165.8728903441553
ISR,33.64303057131594,33.64303057131594,0.0,2023,33.64303057131594
ITA,28.910201002163475,28.910201002163475,0.0,2023,28.910201002163475
JPN,39.98491307403856,39.98491307403856,0.0,2023,39.98491307403856
KAZ,44.701977802039146,80.62770634501604,0.4605862633714986,2023,45.16256406541064
KOR,68.12618318739187,68.12618318739187,0.0,2023,68.12618318739187
KWT,103.88306215481232,103.88306215481232,0.0,2023,103.88306215481232
LKA,4.347637609372564,16.698447151827388,0.15834371208275416,2023,4.505981321455318
LTU,23.151077705718613,23.151077705718613,0.0,2023,23.151077705718613
LUX,60.33451286984694,60.33451286984694,0.0,2023,60.33451286984694
LVA,21.435644954126957,21.43564495412696,0.0,2023,21.435644954126957
MAR,6.855111800571258,39.76191459393545,0.4218820870944127,2023,7.276993887665671
MEX,19.00918388715196,44.679483529795405,0.32910640567491595,2023,19.338290292826876
MKD,13.875025130176583,39.23700412316212,0.325153576833148,2023,14.200178707009732
MYS,39.58699073255799,66.39829970274144,0.6306583978005577,2023,40.21764913035855
NLD,56.00077983312925,56.00077983312925,0.0,2023,56.00077983312925
NOR,96.9263191947326,96.9263191947326,0.0,2023,96.9263191947326
NZL,44.93927483494892,44.93927483494892,0.0,2023,44.93927483494892
OMN,90.7514791562962,90.7514791562962,0.0,2023,90.7514791562962
PAK,4.242753225394122,37.56493480068901,0.42720745609352423,2023,4.6699606814876455
PER,9.835474135025157,36.74207954262873,0.3449564795846612,2023,10.180430614609818
PHL,5.066785186778471,28.107314987853663,0.2953914077060922,2023,5.362176594484564
POL,30.065417880966915,30.065417880966915,0.0,2023,30.065417880966915
PRT,25.094378126866623,25.094378126866623,0.0,2023,25.094378126866623
QAT,194.0634944726065,194.0634944726065,0.0,2023,194.0634944726065
ROU,18.34687143592055,18.34687143592055,0.0,2023,18.34687143592055
RUS,55.459425246802105,94.87151538439484,0.5052832068922145,2023,55.96470845369432
SAU,87.70730172993795,87.70730172993795,0.0,2023,87.70730172993795
SGP,146.54882678372545,146.54882678372545,0.0,2023,146.54882678372545
SVK,33.88770173154626,33.88770173154626,0.0,2023,33.88770173154626
SVN,34.39107547536516,34.39107547536516,0.0,2023,34.39107547536516
SWE,59.92681590623569,59.92681590623569,0.0,2023,59.92681590623569
THA,19.61677666157704,53.34242480509948,0.43238010440413394,2023,20.049156765981174
TKM,71.36741717030642,230.5018807480836,2.040185430484323,2023,73.40760260079075
TTO,107.26862495244262,107.26862495244262,0.0,2023,107.26862495244262
TUR,22.82415145568366,32.91793467338546,0.3492964606783912,2023,23.17344791636205
TWN,55.60654891459647,55.60654891459647,0.0,2023,55.60654891459647
UKR,16.30912693773943,81.14302742025666,0.8312038523399645,2023,17.140330790079393
USA,78.7542755087688,78.7542755087688,0.0,2023,78.7542755087688
UZB,16.929813160161515,96.9761148098401,1.0262346365343409,2023,17.956047796695856
VEN,21.68315000315088,58.14674998392439,0.4674820510355578,2023,22.15063205418644
VNM,12.983017095485774,54.23444082145499,0.5288644067431951,2023,13.51188150222897
ZAF,22.35089835672792,78.94369870815477,0.7255487224541903,2023,23.07644707918211
ARE,148.57421560580497,148.57421560580497,0.0,2024,148.57421560580497
ARG,21.994425066421197,45.88680619064837,0.306312578515733,2024,22.607050223452664
AUS,63.45883675635106,63.45883675635106,0.0,2024,63.45883675635106
AUT,42.68537969803404,42.68537969803404,0.0,2024,42.68537969803404
AZE,18.74792384718434,60.39190625078557,0.5338972103025799,2024,19.8157182677895
BEL,58.39579089785198,58.39579089785198,0.0,2024,58.39579089785198
