Code,Year,ConsumptionTotal,GDP 2015 PPP,IntensidadeEnergetica
ISL,2022,61.853752,21226927351.27783,2.913928661289572
ISR,1995,195.21046255,149112952304.40683,1.3091449101717694
ISR,1996,202.29820543,157952802233.17343,1.2807509747839922
ISR,1997,221.21449161,163939927937.6988,1.3493631136282247
ISR,1998,232.79457861,170686965951.3928,1.363868513992415
ISR,1999,241.27258693,176371682599.98837,1.3679780301081954
ISR,2000,227.371939996,191666026921.28937,1.1862923421967413
ISR,2001,227.213296934,192306326850.6833,1.1815175332760648
ISR,2002,231.7832711,192086672779.72897,1.2066598257224863
ISR,2003,238.83668111000003,194764193813.82123,1.2262863950152385
ISR,2004,243.58924667,204082623224.85773,1.1935815152748892
ISR,2005,244.78761205,212519555234.37625,1.1518357065072768
ISR,2006,246.15258082,224383816351.74448,1.0970157510563543
ISR,2007,255.31546383,237921371210.2959,1.0731085758762278
ISR,2008,262.74495393,245656583658.57596,1.0695620284908554
ISR,2009,255.30804192,247826027047.0008,1.0301905936279252
ISR,2010,265.5085488,261874082856.2692,1.0138786775082496
ISR,2011,270.4796042,276437264807.61804,0.9784484171778931
ISR,2012,282.9399267,283590504316.2281,0.9977059259519402
ISR,2013,267.7640128,296112447535.968,0.9042646299678955
ISR,2014,261.2849674,307717470100.3065,0.8491067059495487
ISR,2015,275.6794702000001,315366791867.8474,0.8741550388587583
ISR,2016,281.283707,329626669996.2509,0.8533402561242973
ISR,2017,286.9793486,343723470819.24066,0.8349134492212735
ISR,2018,291.69207129999995,357714122484.2636,0.8154334787630084
ISR,2019,302.01288200000005,372581215020.769,0.810596105826658
ISR,2020,285.439861,365661304061.9273,0.780612708616438
ISR,2021,290.037971,397152020275.8296,0.7302945879478673
ISR,2022,304.07610600000004,424288967592.7525,0.7166721956623274
ITA,1965,928.462171,833863220220.1171,1.1134466042943008
ITA,1966,1008.30432,883768218069.8947,1.1409148907867335
ITA,1967,1091.974217,947210513538.9326,1.1528316054265555
ITA,1968,1179.9841937,1009201223292.6044,1.169225885250319
ITA,1969,1270.0332033,1070742919365.1754,1.1861233731556966
ITA,1970,1402.123867,1127157076383.1558,1.2439471803691844
ITA,1971,1476.255652,1147650008613.7783,1.2863291429615702
ITA,1972,1548.182156,1190003869499.8364,1.3009891780021754
ITA,1973,1615.8225069999996,1274801906657.009,1.2675086996357494
ITA,1974,1615.3332859999998,1344917810285.4912,1.201064684879968
ITA,1975,1581.352997,1316806836972.8518,1.2008997467201048
ITA,1976,1668.9083899999998,1410634395619.1077,1.1830906684134406
ITA,1977,1674.3580780000002,1446753701235.5083,1.1573207495996871
ITA,1978,1715.5237599999998,1493630543020.5857,1.1485596408136358
ITA,1979,1769.164783,1582638368318.456,1.1178578874463452
ITA,1980,1723.7926030000003,1636923124132.7292,1.05306875905568
ITA,1981,1687.625993,1650742481056.0864,1.0223435892437425
ITA,1982,1654.0917419999998,1657569715812.881,0.9979017631779212
ITA,1983,1619.34025,1676950078854.5923,0.9656460680726158
ITA,1984,1644.550554,1731046011799.4104,0.9500328372499474
ITA,1985,1636.660234,1779482163879.4033,0.9197396114563796
ITA,1986,1681.006726,1830374853088.5137,0.9183947884574163
ITA,1987,1731.07369748,1888799697752.7,0.9164940568021253
ITA,1988,1773.73843,1968023083659.9355,0.9012792810851467
ITA,1989,1824.94422,2034707252199.3252,0.8969075123841077
ITA,1990,1854.88582,2075111958974.2927,0.8938726471977211
ITA,1991,1913.13233,2107036468228.047,0.9079730507032397
ITA,1992,1905.32888,2124614956279.924,0.896787850602407
ITA,1993,1865.053694,2106496117473.5352,0.88538197556086
ITA,1994,1860.83603,2151807346894.484,0.8647781748145728
ITA,1995,1936.397015,2213926512372.78,0.8746437626444353
ITA,1996,1935.79798,2241972196957.133,0.8634353194153429
ITA,1997,1969.28416,2283005046386.1284,0.8625842343700766
