Code,Year,ConsumptionTotal,Population,PerCapitaConsumption
DZA,1991,312.09507274000003,26133905.0,11.942152263123328
DZA,1992,320.22688583999997,26748302.5,11.971858245583995
DZA,1993,297.99496189999996,27354327.500000007,10.893887334645676
DZA,1994,301.92110027999996,27937006.000000004,10.80721034601918
DZA,1995,313.14482885999996,28478022.000000007,10.996017520458404
DZA,1996,309.92471348,28984634.000000007,10.692724754778684
DZA,1997,297.85976416,29476030.999999993,10.105151679342448
DZA,1998,308.3489828,29924668.500000007,10.304173722091521
DZA,1999,311.43417489999996,30346082.500000004,10.262747255761923
DZA,2000,299.9456272,30774620.99999999,9.746525463303028
DZA,2001,310.81294719999994,31200985.499999993,9.961638782210901
DZA,2002,321.95051760999996,31624695.500000004,10.18035154235714
DZA,2003,336.92209235,32055883.5,10.510460344978481
DZA,2004,349.77778373,32510186.0,10.759021302738779
DZA,2005,366.2715139,32956690.499999996,11.113722535337704
DZA,2006,379.22004,33435080.50000001,11.341980767774729
DZA,2007,399.63976226,33983827.499999985,11.759704296403935
DZA,2008,423.55692636,34569591.50000001,12.252297698108462
DZA,2009,448.85929749999997,35196036.5,12.753120582199646
DZA,2010,438.994893,35856343.49999999,12.243158396784102
DZA,2011,464.48825450000004,36543541.49999999,12.710542969679064
DZA,2012,507.6718554,37260562.5,13.62491120202493
DZA,2013,536.9768133,38000626.5,14.13073579984267
DZA,2014,585.61326077,38760167.5,15.108635966807935
DZA,2015,617.5181099,39543154.500000015,15.616308757056794
DZA,2016,616.9958338,40339328.5,15.295143889170095
DZA,2017,623.7946668,41136545.999999985,15.164002023893795
DZA,2018,669.6197807,41927007.00000002,15.971084716350004
DZA,2019,694.3488705,42705368.500000015,16.259053484107035
DZA,2020,648.8988244,43451666.000000015,14.933807702563113
DZA,2021,703.0685334,44177968.49999998,15.91446047139991
DZA,2022,684.8697159000001,44903225.00000001,15.252127567674705
ECU,1965,8.6569279,5337351.499999999,1.6219519924816646
ECU,1966,9.11249197,5495761.000000001,1.658094660593865
ECU,1967,9.8596407,5658446.0,1.7424643974688456
ECU,1968,11.6420345,5825662.499999999,1.9984052457553112
ECU,1969,12.3693951,5997037.000000002,2.0625844229408616
ECU,1970,14.773025599999999,6172215.000000001,2.3934722947920637
ECU,1971,16.2313542,6350944.000000003,2.5557388318964853
ECU,1972,16.9592212,6533629.5,2.5956814967852098
ECU,1973,18.1519582,6720442.999999999,2.701006198549709
ECU,1974,21.1877808,6911123.000000002,3.065750790428704
ECU,1975,21.4583011,7105785.999999997,3.0198349767358614
ECU,1976,23.6247382,7304349.000000001,3.234338638528909
ECU,1977,28.09342496,7506665.000000001,3.7424641914884966
ECU,1978,29.3839595,7712718.0,3.8098060242835277
ECU,1979,30.598039399999998,7922489.999999999,3.862174568853984
ECU,1980,38.81812447,8135844.499999996,4.771247099179442
ECU,1981,43.055054670000004,8352602.000000001,5.154687685346435
ECU,1982,47.312385400000004,8572606.999999998,5.51901952346585
ECU,1983,46.3387842,8795872.999999996,5.268241617403983
ECU,1984,51.570739,9022978.999999996,5.715489197082253
ECU,1985,60.968280899999996,9254311.5,6.588094738328183
ECU,1986,63.905832399999994,9490096.0,6.733950046448423
ECU,1987,65.8654059,9729375.500000007,6.769746516618661
ECU,1988,76.0712458,9969787.5,7.630177253025705
ECU,1989,78.44753800000001,10210185.5,7.6832627575669425
ECU,1990,80.9821034165,10449837.5,7.749604088723867
ECU,1991,89.4386981387,10686279.000000002,8.36948933662503
ECU,1992,88.9794055276,10914222.000000004,8.15261092614755
ECU,1993,92.23142243605,11132829.000000004,8.284634789239101
ECU,1994,100.322726694,11347651.999999996,8.84083568072056
ECU,1995,94.81820261099999,11561682.5,8.201073036817954
ECU,1996,107.91350530529999,11775221.5,9.164456507701361
ECU,1997,120.22122825,11987838.499999998,10.028599254986627
ECU,1998,120.844044167,12199693.5,9.905498377233823
ECU,1999,110.230704138,12412045.999999998,8.880945505519396
ECU,2000,104.128819389,12626506.999999996,8.24684288291291
ECU,2001,105.482952971,12845521.000000002,8.211652370581152
ECU,2002,104.109366228,13070608.499999998,7.965150683535508
ECU,2003,106.6074197,13301184.500000006,8.01488165959956
ECU,2004,114.05593611,13534592.49999999,8.426994466955698
ECU,2005,120.72479494400001,13770011.500000002,8.767225426354946
ECU,2006,127.685669056,14009061.500000002,9.114505568841993
ECU,2007,134.252555955,14251835.500000006,9.420018632336863
ECU,2008,143.28509880000001,14496796.999999996,9.883914274304873
ECU,2009,139.80512177999998,14742765.999999998,9.482964172394787
ECU,2010,155.19421344,14989585.5,10.353469309741753
ECU,2011,164.64429227600002,15237727.999999996,10.805042082126683
ECU,2012,173.93343016,15483883.000000002,11.233191968707073
ECU,2013,179.50915512,15722989.499999996,11.416986262059137
ECU,2014,188.56315488,15957994.000000002,11.816219186446617
ECU,2015,188.04612587999998,16195902.0,11.610722630947011
ECU,2016,187.40383771999998,16439585.000000002,11.39954796425822
ECU,2017,194.656301225,16696944.000000004,11.658199322283165
ECU,2018,205.89234507,17015671.499999993,12.100159847937832
ECU,2019,210.90687290000002,17343740.500000004,12.160402936148635
ECU,2020,182.47685761999998,17588595.499999993,10.374725919417502
ECU,2021,212.2116016,17797737.0,11.923515984082695
ECU,2022,218.71668864999998,18000999.999999996,12.150252133214822
EGY,1965,91.67500756999999,30818469.500000004,2.9746774923394548
EGY,1966,96.462743,31613132.5,3.0513503525789485
EGY,1967,82.5848024,32408414.000000004,2.5482518953257016
EGY,1968,89.11757600000001,33204629.0,2.6838901286925996
EGY,1969,73.375167,33995955.00000001,2.158349927219282
EGY,1970,91.43162765,34781985.5,2.6287063931413575
EGY,1971,93.99038494999999,35555969.50000001,2.643448801192159
EGY,1972,104.29000439999999,36330767.5,2.870569811111202
EGY,1973,98.5727354,37120775.499999985,2.6554600239965365
EGY,1974,112.03732269999999,37930374.499999985,2.9537626289453067
EGY,1975,124.2882197,38775583.5,3.2053217123089843
EGY,1976,148.624036,39649050.49999999,3.748489159910652
EGY,1977,161.271434,40577356.00000001,3.974419476715042
EGY,1978,170.3538016,41576636.000000015,4.097344518204887
EGY,1979,186.081698,42632458.0,4.364789334924108
EGY,1980,211.6622084,43748555.50000001,4.838153076848445
EGY,1981,241.09534100000002,44899572.5,5.369657829147482
EGY,1982,268.99861,46088647.500000015,5.83654814344465
EGY,1983,290.812441,47353665.00000001,6.1412868676585
EGY,1984,317.112343,48676442.99999999,6.514698352137194
EGY,1985,328.849426,50035843.00000001,6.572277117425601
EGY,1986,336.31654299999997,51424313.00000001,6.540029868750992
EGY,1987,356.6302,52841318.5,6.7490783750976995
EGY,1988,361.87683899999996,54298445.99999999,6.6645892407307565
EGY,1989,381.467714,55765843.00000001,6.84052626981717
EGY,1990,391.32345599999996,57214630.50000001,6.8395697495590735
EGY,1991,396.432676,58611032.00000001,6.76378938354131
EGY,1992,392.62603600000006,59989142.0,6.544951684756553
EGY,1993,392.912818,61382200.000000015,6.401087253307961
EGY,1994,413.22751,62775847.0,6.58258756747639
EGY,1995,437.82059,64166907.5,6.82315241699937
EGY,1996,461.276805,65565194.99999999,7.035391338346513
EGY,1997,480.500347,66993728.499999985,7.17231833125992
EGY,1998,500.30726,68446011.5,7.309516639987123
EGY,1999,536.888763,69907886.99999999,7.679945511727456
EGY,2000,568.5334315,71371371.49999999,7.965847083378525
EGY,2001,593.3138204999999,72854260.99999999,8.143845155467297
EGY,2002,610.2438040000001,74393759.00000001,8.202889761223116
EGY,2003,645.9916380000001,75963322.50000003,8.503993989994314
EGY,2004,682.0538299999998,77522426.50000001,8.798148623482518
EGY,2005,699.4165740000002,79075309.50000001,8.844942604998595
EGY,2006,736.6443069999999,80629669.50000003,9.136144443702571
EGY,2007,784.579371,82218755.5,9.542583881605943
EGY,2008,831.8381339999999,83844782.50000001,9.921167533591012
EGY,2009,861.67132,85501063.49999999,10.077901779549212
EGY,2010,895.1117599999999,87252413.49999996,10.258876793133066
EGY,2011,938.0791360000001,89200053.99999999,10.516575875615503
EGY,2012,975.215481,91240376.49999999,10.688420175469137
EGY,2013,968.1440965,93377890.5,10.368022786935844
EGY,2014,955.8867032999999,95592324.0,9.999617786256561
EGY,2015,971.7203579999998,97723798.50000001,9.943538553712683
EGY,2016,1025.582719,99784029.5,10.278024691315958
EGY,2017,1065.9024230000002,101789385.49999996,10.471646112845436
EGY,2018,1067.152084,103740765.5,10.286718811613165
EGY,2019,1047.689018,105618671.0,9.919543657200535
EGY,2020,983.7346540000001,107465134.00000001,9.153988995165632
EGY,2021,1053.1912619999996,109262177.5,9.639120197837899
EGY,2022,1105.468278,110990103.00000004,9.960061736315351
ERI,2000,0.0,2392879.5000000005,0.0
ERI,2001,0.0,2461926.5,0.0
ERI,2002,0.0,2547424.0,0.0
