Code,FirstYear,FirstPerCapitaConsumption,LastYear,LastPerCapitaConsumption,TotalGrowth,Period,AvgGrowth
NPL,2000,0.0,2021,0.0,0.0,21,0.0
NRU,2000,0.0,2021,0.0,0.0,21,0.0
NZL,1965,30.850341657329913,2022,44.93927483494892,14.088933177619005,57,0.24717426627401762
OMN,1965,0.16399346589593436,2022,90.7514791562962,90.58748569040027,57,1.589254134919303
PAK,1965,1.586070145504987,2022,4.242753225394122,2.6566830798891345,57,0.04660847508577429
PAN,2000,0.0,2021,0.0,0.0,21,0.0
PER,1965,4.668869749691053,2022,9.835474135025157,5.166604385334104,57,0.09064218219884393
PHL,1965,1.6700149255287324,2022,5.066785186778471,3.396770261249739,57,0.05959246072367963
PNG,1980,0.0,2022,0.0,0.0,42,0.0
POL,1965,24.854317083023194,2022,30.065417880966915,5.211100797943722,57,0.09142282101655652
PRI,2000,0.0,2021,0.0,0.0,21,0.0
PRK,2000,0.0,2021,0.0,0.0,21,0.0
PRT,1965,5.599368171458851,2022,25.094378126866626,19.495009955407774,57,0.3420177185159259
PRY,2000,0.0,2021,0.0,0.0,21,0.0
PSE,2000,0.0,2021,0.0,0.0,21,0.0
PYF,2000,0.0,2021,0.0,0.0,21,0.0
QAT,1965,21.761700119520388,2022,194.06349447260646,172.30179435308608,57,3.022838497422563
REU,2000,0.0,2021,0.0,0.0,21,0.0
ROU,1965,14.579684834066512,2022,18.34687143592055,3.767186601854039,57,0.06609099301498314
RUS,1985,66.86760045394425,2022,55.459425246802105,-11.408175207142143,37,-0.30832905965249036
RWA,2000,0.0,2021,0.0,0.0,21,0.0
SAU,1965,47.22700287602444,2022,87.70730172993795,40.48029885391351,57,0.7101806816476054
SDN,1980,0.0,2022,0.0,0.0,42,0.0
SEN,2000,0.0,2021,0.0,0.0,21,0.0
SGP,1965,25.737230678939788,2022,146.54882678372545,120.81159610478565,57,2.119501686048871
SHN,2000,0.0,2021,0.0,0.0,21,0.0
SLB,2000,0.0,2021,0.0,0.0,21,0.0
SLE,2000,0.0,2021,0.0,0.0,21,0.0
SLV,2000,0.0,2022,0.0,0.0,22,0.0
SOM,2000,0.0,2021,0.0,0.0,21,0.0
SPM,2000,0.0,2021,0.0,0.0,21,0.0
SRB,1990,0.0,2022,0.0,0.0,32,0.0
SSD,1980,0.0,2022,0.0,0.0,42,0.0
STP,2000,0.0,2021,0.0,0.0,21,0.0
SUR,2000,0.0,2021,0.0,0.0,21,0.0
SVK,1965,24.48399890776042,2022,33.88770173154626,9.403702823785839,57,0.16497724252255858
SVN,1990,34.89279258458105,2022,34.39107547536516,-0.501717109215889,32,-0.01567865966299653
SWE,1965,50.66609727541573,2022,59.92681590623569,9.260718630819959,57,0.16246874790912208
SWZ,2000,0.0,2021,0.0,0.0,21,0.0
SYC,2000,0.0,2021,0.0,0.0,21,0.0
SYR,1968,0.0,2022,0.0,0.0,54,0.0
TCA,2000,0.0,2021,0.0,0.0,21,0.0
TCD,1980,0.0,2022,0.0,0.0,42,0.0
TGO,2000,0.0,2021,0.0,0.0,21,0.0
THA,1965,0.9924452955251309,2022,19.61677666157704,18.62433136605191,57,0.32674265554477033
TJK,2000,0.0,2021,0.0,0.0,21,0.0
TKM,1980,0.0,2022,71.36741717030642,71.36741717030642,42,1.6992242183406292
TLS,2003,0.0,2021,0.0,0.0,18,0.0
TON,2000,0.0,2021,0.0,0.0,21,0.0
TTO,1965,36.216490165192454,2022,107.26862495244262,71.05213478725017,57,1.246528680478073
TUN,1966,0.0,2022,0.0,0.0,56,0.0
TUR,1965,2.914253197015357,2022,22.82415145568366,19.909898258668303,57,0.34929646067839126
TWN,1965,5.382851081320578,2022,55.606548914596466,50.223697833275885,57,0.8811175058469454
TZA,2000,0.0,2021,0.0,0.0,21,0.0
UGA,2000,0.0,2021,0.0,0.0,21,0.0
