Code,Year,Entity,Population,GDP_2010_dolar,GDP_PPP_2010_dolar,Consumption
AUS,2015,Australia,23815995.0,1171812896527.2856,1056248940467.7534,1599.5604659999997
AUS,2016,Australia,24190907.0,1186932343017.151,1100510836541.8271,572757.225695
AUS,2017,Australia,24594202.0,1271264404386.5662,1131064037697.0527,1600.2698
AUS,2018,Australia,24966643.0,1272567513874.9585,1162083673687.7295,1621.23842
AUS,2019,Australia,25340217.0,1224222538764.7832,1184849604467.8054,440462.68523000006
AUS,2020,Australia,25655289.0,1181523864978.903,1155927713080.169,1593.59472
AUS,2021,Australia,25688079.0,0.0,0.0,537401.54077
AUT,1965,Austria,7270889.0,0.0,0.0,189.498286
AUT,1966,Austria,7322066.0,0.0,0.0,198.325071
AUT,1967,Austria,7376998.0,0.0,0.0,200.363487
AUT,1968,Austria,7415403.0,0.0,0.0,214.24156500000004
AUT,1969,Austria,7441055.0,0.0,0.0,97350.700499
AUT,1970,Austria,7467086.0,0.0,0.0,254.149235
AUT,1971,Austria,7500482.0,0.0,0.0,253.084137
AUT,1972,Austria,7544201.0,0.0,0.0,261.82576800000004
AUT,1973,Austria,7586115.0,0.0,0.0,281.510129
AUT,1974,Austria,7599038.0,0.0,0.0,282.96216000000004
AUT,1975,Austria,7578903.0,0.0,0.0,281.063581
AUT,1976,Austria,7565525.0,0.0,0.0,290.89369999999997
AUT,1977,Austria,7568430.0,0.0,0.0,291.597704
AUT,1978,Austria,7562305.0,0.0,0.0,304.18984
AUT,1979,Austria,7549425.0,0.0,0.0,322.217177
AUT,1980,Austria,7549433.0,220909066258.91943,231356269113.14984,320.873805
AUT,1981,Austria,7568710.0,173552715341.95935,229377382624.76892,311.520113
AUT,1982,Austria,7574140.0,163409275892.08008,233722508268.0592,301.321632
AUT,1983,Austria,7561910.0,160390974704.8904,241898365935.91907,300.495179
AUT,1984,Austria,7561434.0,145064467259.4988,241091442198.86823,297.468615
AUT,1985,Austria,7564985.0,143462195160.03122,245562774395.0039,51079.99058400001
AUT,1986,Austria,7569794.0,199823946360.1533,251654019923.37164,316.43460500000003
AUT,1987,Austria,7574586.0,241200250000.0,253096750000.0,334.019019
AUT,1988,Austria,7585317.0,254088563920.4546,254018190340.90912,329.13281
AUT,1989,Austria,7619567.0,241787475609.7561,261603949864.49863,330.97407
